what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1301766626382
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1301766626382
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1301766626382
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1301766626383
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1301766626383
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1301766626383
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1301766626383
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1301766626384
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1301766626384
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1301766626385
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1301766626385
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1301766626386
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1301766626387
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1301766626388
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1301766626388
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1301766626388
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1301766626389
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1301766626389
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1301766626390
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1301766626391
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1301766626391
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1301766626391
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1301766626392
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1301766626392
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1301766626393
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1301766626393
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1301766626394
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1301766626394
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1301766626395
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1301766626395
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1301766626395
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1301766626396
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1301766626396
os,sysinfo,,,"linux",1301766626398
arch,sysinfo,,,"x86",1301766626398
ws,sysinfo,,,"gtk",1301766626398
locale,sysinfo,,,"pt_BR",1301766626398
processors,sysinfo,,,"2",1301766626399
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1301766626399
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1301766626399
java.specification.name,sysinfo,,,"Java Platform API Specification",1301766626399
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1301766626399
java.specification.version,sysinfo,,,"1.6",1301766626399
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1301766626399
java.version,sysinfo,,,"1.6.0_20",1301766626399
java.vm.info,sysinfo,,,"mixed mode, sharing",1301766626399
java.vm.name,sysinfo,,,"OpenJDK Client VM",1301766626399
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1301766626399
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1301766626399
java.vm.specification.version,sysinfo,,,"1.0",1301766626399
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1301766626399
java.vm.version,sysinfo,,,"19.0-b09",1301766626399
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301766688104
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301766699270
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1301766699557
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1301766699562
